company,symbol,gics_sector,gics_sub_industry,long_bd
Concentrix,CNXC,Information Technology,Data Processing & Outsourced Services,"Concentrix Corporation designs, builds, and runs integrated customer experience (CX) solutions worldwide. The company provides CX process optimization, technology innovation and design engineering, front- and back-office automation, analytics, and business transformation services to clients in various industry verticals comprising technology and consumer electronics; retail, travel, and e-commerce; communications and media; banking, financial services, and insurance; and healthcare. It also offers customer lifecycle management; CX/user experience strategy and design; data analytics, enterprise intelligence, and actionable insights; digital operations, such as B2B sales, performance marketing, customer loyalty, trust and safety, and collections; digital transformation services that design and engineer CX solutions to enable efficient customer self-service and build customer loyalty; customer engagement solutions and services that address the entirety of the customer lifecycle; and AI technology that can intelligently act on customer intent to improve customer experience with non-human engagement. In addition, the company provides self-service GenAI assistants for applications in data analysis, language translations, and internal chatbots; voice of the customer and analytics solutions to gather and analyze customer feedback to foster loyalty to, and growth with, clients; analytics and consulting solutions that synthesize data and provide professional insight to improve clients' customer experience strategies; specialized support to specific industry verticals, including collections, know-your-customer, and financial crime and compliance; and back office BPO services that support clients in non-customer facing areas. It serves clients in various industry verticals comprising technology and consumer electronics, retail, travel and e-commerce, communications and media, banking, financial services and insurance, healthcare, and others. Concentrix Corporation was founded in 2004 and is based in Newark, California."
"Confluent, Inc.",CFLT,Information Technology,,"Confluent, Inc. operates a data streaming platform in the United States and internationally. The company provides platforms that allow customers to connect their applications, systems, and data layers comprising Confluent Cloud, a managed cloud-native software-as-a-service (SaaS); and Confluent Platform, an enterprise-grade self-managed software. It also offers connectors for existing applications, and IT and cloud infrastructure; Apache Flink services that allows teams to create reusable data streams that can be delivered real-time; WarpStream, a bring your own cloud managed streaming service; and stream governance, a managed data governance suite that is designed for the intricacies of streaming data, which allows teams to accelerate data streaming initiatives without bypassing controls for risk management or regulatory compliance. In addition, the company offers professional services comprising packaged and residency offerings; education offerings consisting of training and certification guidance, technical resources, and access to hands-on training and certification exams; and certification programs. It serves banking and financial services, retail and ecommerce, manufacturing, automotive, telecommunication, gaming, insurance, and technology industries, as well as public sector. The company was formerly known as Infinitem, Inc. and changed its name to Confluent, Inc. in September 2014. Confluent, Inc. was incorporated in 2014 and is headquartered in Mountain View, California."
ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production,"ConocoPhillips explores for, produces, transports, and markets crude oil, bitumen, natural gas, liquefied natural gas (LNG), and natural gas liquids. The company operates in six segments: Alaska; Lower 48; Canada; Europe, Middle East and North Africa; Asia Pacific; and Other International. The company's portfolio includes unconventional plays in North America; conventional assets in North America, Europe, Asia, and Australia; global LNG developments; oil sands assets in Canada; and an inventory of global exploration prospects. It serves in the United States, Canada, China, Equatorial Guinea, Libya, Malaysia, Norway, Singapore, the United Kingdom, and internationally ConocoPhillips was founded in 1917 and is headquartered in Houston, Texas."
Consolidated Edison,ED,Utilities,Electric Utilities,"Consolidated Edison, Inc., through its subsidiaries, engages in the regulated electric, gas, and steam delivery businesses in the United States. The company offers electric services to approximately 3.7 million customers in New York City and Westchester County; gas to approximately 1.1 million customers in Manhattan, the Bronx, parts of Queens, and Westchester County; and steam to approximately 1,520 customers in parts of Manhattan. It also supplies electricity to approximately 0.3 million customers in southeastern New York and northern New Jersey; and gas to approximately 0.1 million customers in southeastern New York. In addition, the company operates 549 circuit miles of transmission lines; 15 transmission substations; 64 distribution substations; 90,755 in-service line transformers; 3,877 pole miles of overhead distribution lines; and 2,405 miles of underground distribution lines, as well as 4,384 miles of mains and 379,888 service lines for natural gas distribution. Further, it invests in electric and gas transmission projects. The company primarily sells electricity to industrial, commercial, residential, and government customers. Consolidated Edison, Inc. was founded in 1823 and is based in New York, New York."
Constellation Brands,STZ,Consumer Staples,Distillers & Vintners,"Constellation Brands, Inc., together with its subsidiaries, produces, imports, markets, and sells beer, wine, and spirits in the United States, Canada, Mexico, New Zealand, and Italy. The company offers beer under the Corona Extra, Corona Familiar, Corona Hard Seltzer, Corona Light, Corona Non-Alcoholic, Corona Premier, Corona Refresca, Modelo Especial, Modelo Chelada, Modelo Negra, Modelo Oro, Victoria, Vicky Chamoy, and Pacifico brands. It also offers wine under the Cook's California Champagne, Kim Crawford, Meiomi, Mount Veeder, Ruffino, SIMI, My Favorite Neighbor, Robert Mondavi Winery, Schrader, and The Prisoner Wine Company brands; and spirits under the Casa Noble, Copper & Kings, High West, Mi CAMPO, Nelson's Green Brier, and SVEDKA brands. The company provides its products to wholesale distributors, retailers, on-premise locations, and state alcohol beverage control agencies. Constellation Brands, Inc. was founded in 1945 and is based in Rochester, New York."
Constellation Energy,CEG,Utilities,Multi-Utilities,"Constellation Energy Corporation produces and sells energy products and services in the United States. It operates through five segments: Mid-Atlantic, Midwest, New York, ERCOT, and Other Power Regions. The company offers electricity, natural gas, energy-related products, and sustainable solutions. It has approximately 31,676 megawatts of generating capacity consisting of nuclear, wind, solar, natural gas, and hydroelectric assets. The company serves distribution utilities, municipalities, cooperatives, and commercial, industrial, public sector, and residential customers. The company was incorporated in 2021 and is headquartered in Baltimore, Maryland."
Cooper Companies (The),COO,Health Care,Health Care Supplies,"The Cooper Companies, Inc., together with its subsidiaries, develops, manufactures, and markets contact lens wearers. The company operates in two segments, CooperVision and CooperSurgical. The CooperVision segment provides toric and multifocal lenses comprising lenses correcting vision challenges, such as astigmatism, presbyopia, and myopia; and spherical lense, including lenses that correct near and farsightedness in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The CooperSurgical segment focuses on family and women's health care, which provides fertility products and services, medical devices, and contraception, as well as cryostorage, such as cord blood and cord tissue storage to health care professionals and patients worldwide. It offers surgical and office products, including paragard contraceptive intrauterine devices; and fertility consumables and equipment, donor gamete services, and genomic services, including genetic testing. The company sells its products to distributors, group purchasing organizations, eye care and health care professionals, including independent practices, corporate retailers, hospitals and clinics, and authorized resellers. The Cooper Companies, Inc. was founded in 1958 and is headquartered in San Ramon, California."
Copart,CPRT,Industrials,Diversified Support Services,"Copart, Inc. provides online auctions and vehicle remarketing services in the United States, Canada, the United Kingdom, Brazil, the Republic of Ireland, Germany, Finland, the United Arab Emirates, Oman, Bahrain, and Spain. It offers a range of services for processing and selling vehicles over the internet through its virtual bidding third generation internet auction-style sales technology to vehicle sellers, insurance companies, banks and finance companies, charities, fleet operators, dealers, vehicle rental companies, and individuals. The company's services include online seller access, salvage estimation, estimating, end-of-life vehicle processing, transportation, vehicle inspection stations, on-demand reporting, title processing and express, loan payoff, flexible vehicle processing programs, buy it now, sales process, and dealer services. Its services also comprise services to sell vehicles through BluCar, CashForCars.com, CashForCars.ca, CashForCars.de, CashForCars.co.uk, and Cash-for-cars.ie; Copart Recycling service, which allows the public to purchase parts from salvaged and end-of-life vehicles; copart 360, a proprietary technology that captures clear 360-degree views of interiors and exteriors of cars, trucks, and vans; and membership tiers for those registering to buy vehicles through Copart.com. In addition, it provides IntelliSeller, an automated tool leveraging its vast and detailed vehicle and sales data to assist its sellers in making vital auction decisions; Purple Wave Inc., that offers wholesale construction, agriculture, and fleet remarketing services through no-reserve online auctions; non-salvage powersport vehicle remarketing services through live and online auction platforms. The company sells its products principally to licensed vehicle dismantlers, rebuilders, repair licensees, used vehicle dealers, and exporters, as well as to the public. Copart, Inc. was incorporated in 1982 and is headquartered in Dallas, Texas."
Core & Main,CNM,Industrials,,"Core & Main, Inc. distributes water, wastewater, storm drainage, and fire protection products and related services in the United States. Its products portfolio include pipes, valves, hydrants, fittings, and other products and services used for service, repair and replacement of underground water infrastructure; storm drainage products, such as corrugated HDPE and metal piping systems, retention basins, inline drains, manholes, grates, geosynthetics, erosion control, and other related products; fire protection products, including fire protection pipes, valves, fittings, sprinkler heads and other accessories, as well as fabrication and kitting services; smart meter products; and smart metering solutions which include meter accessories, meter installation, network infrastructure and software installation, training, and long-term services, as well as engineered treatment plant products. The company's specialty products and services are used in the maintenance, repair, replacement, and construction of water, wastewater, storm drainage, and fire protection infrastructure. It serves municipalities, private water companies, and professional contractors in the municipal, non-residential, and residential end markets. Core & Main, Inc. was founded in 1874 and is headquartered in Saint Louis, Missouri."
Corning Inc.,GLW,Information Technology,Electronic Components,"Corning Incorporated engages in the optical communications, display technologies, environmental technologies, specialty materials, and life sciences businesses in the United States and internationally. The company's Optical Communications segment provides optical fibers and cables; and hardware and equipment products, such as cable assemblies, fiber optic hardware and connectors, optical components and couplers, closures, network interface devices, and other accessories for the telecommunications industry, businesses, governments, and individuals. Its Display Technologies segment offers glass substrates for flat panel displays, including liquid crystal displays and organic light-emitting diodes that are used in televisions, notebook computers, desktop monitors, tablets, and handheld devices. The company's Specialty Materials segment manufactures products that offer material formulations for glass, glass ceramics, crystals, precision metrology instruments, and software, as well as glass wafers and substrates, tinted sunglasses, and radiation shielding products for various markets comprising mobile consumer electronics, semiconductor equipment optics and consumables, aerospace and defense optics, radiation shielding products, sunglasses, and telecommunications components. Its Environmental Technologies segment provides ceramic substrates and filter products for emissions control in mobile, gasoline, and diesel applications. The company's Life Sciences segment offers laboratory products, including consumables, such as plastic vessels, liquid handling plastics, specialty surfaces, cell culture media, and serum, as well as general labware, and glassware and equipment under the Corning, Pyrex, Falcon, and Axygen brands. The company was formerly known as Corning Glass Works and changed its name to Corning Incorporated in April 1989. Corning Incorporated was founded in 1851 and is headquartered in Corning, New York."
Corpay,CPAY,Financials,Transaction & Payment Processing Services,"Corpay, Inc. operates as a payments company that helps businesses and consumers manage vehicle-related expenses, lodging expenses, and corporate payments in the United States, Brazil, the United Kingdom, and internationally. The company offers vehicle payment solutions, which include fuel, tolls, parking, vehicle compliance, fleet maintenance, and long-haul transportation services, as well as prepaid food and transportation vouchers and cards. It also provides corporate payment solutions consisting of accounts payable AP automation; virtual cards, cross-border solutions; and purchasing and T&E travel and entertainment card products, as well as lodging payments solutions for employees who travel overnight for work purposes; traveling crews and stranded passengers from airlines and cruise lines; and insurance policyholders displaced from their homes due to damage or catastrophe; workforce lodging solutions for business travel programs; airline logistics, crew management, insurance, and other payments solutions. In addition, the company offers gifts and payroll cards. It serves business, merchant, consumer, and payment network customers. The company was formerly known as FLEETCOR Technologies, Inc. and changed its name to Corpay, Inc. in March 2024. Corpay, Inc. was founded in 1986 and is headquartered in Atlanta, Georgia."
Corteva,CTVA,Materials,Fertilizers & Agricultural Chemicals,"Corteva, Inc. operates in the agriculture business. It operates through two segments, Seed and Crop Protection. The Seed segment develops and supplies advanced germplasm and traits that produce optimum yield for farms. It offers trait technologies that enhance resistance to weather, disease, insects, and herbicides used to control weeds, as well as food and nutritional characteristics. This segment also provides digital solutions that assist farmer decision-making with a view to optimize product selection, and maximize yield and profitability. The Crop Protection segment offers products that protect against weeds, insects and other pests, and diseases, as well as enhances crop health above and below ground through nitrogen management and seed-applied technologies. This segment provides herbicides, insecticides, nitrogen stabilizers, and pasture and range management herbicides. It serves agricultural input industry. The company operates in the United States, Canada, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. Corteva, Inc. was incorporated in 2018 and is headquartered in Indianapolis, Indiana."
CoStar Group,CSGP,Industrials,Real Estate Services,"CoStar Group, Inc. provides information, analytics, and online marketplace services in the United States, Canada, Europe, the Asia Pacific, and Latin America. It offers CoStar Property that provides inventory of office, industrial, retail, multifamily, hospitality, and student housing properties and land; CoStar Leasing, a data on lease transactions and tools to manage user-entered lease data; CoStar Sales, a database of commercial real estate sales transactions; CoStar Owners provides detailed portfolio information; CoStar Markets to view and report on market and submarket trends; and CoStar Tenant that provides tenant information. The company also provides CoStar Benchmarking allows hotels to measure performance against competitors; CoStar Lender, a tool for lenders to manage loan portfolios and risk; and real estate and lease management technology solutions, such as lease administration, lease accounting, and abstraction services. In addition, it offers Apartamentos.com, an apartment marketing sites; LoopNet.com, a commercial property marketing sites; Homes.com, a homes for sale listings site; Ten-X, an online auction platform for commercial real estate; Land.com, a marketplace for rural land sales; and BizBuySell.com, a marketplace for operating businesses and franchises for sale. It serves sales, leasing, and mortgage brokers; property, real estate investment trust, insurance companies, and asset managers; and government agencies, property owners, mortgage-backed security issuers, appraisers, design and construction professionals, pension fund managers, real estate developers, reporters tenant vendors, bankers, building services vendors, mortgage bankers, communications providers, retailers, institutional advisors, hospitality owners, investors, and real estate agents. The company was founded in 1987 and is headquartered in Arlington, Virginia."
Costco,COST,Consumer Staples,Consumer Staples Merchandise Retail,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, Mexico, Japan, the United Kingdom, Korea, Australia, Taiwan, China, Spain, France, Iceland, New Zealand, and Sweden. The company offers branded and private-label products in a range of merchandise categories. It offers merchandise, such as sundries, dry groceries, candies, coolers, freezers, deli, liquor, and tobacco; appliances, electronics, health and beauty aids, hardware, lawn and garden, sporting goods, tires, toys and seasonal products, office supplies, automotive care products, postages, tickets, apparel, small appliances, furniture, domestics, housewares, special order kiosks, and jewelry; and meat, produce, service deli, and bakery products. The company also operates gasoline, pharmacies, optical, food courts, hearing-aid centers, and tire installation centers; and offers business delivery, travel, grocery, and various other services online. It also operates e-commerce websites. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington."
Coterra,CTRA,Energy,Oil & Gas Exploration & Production,"Coterra Energy Inc., an independent oil and gas company, engages in the exploration, development, and production of oil, natural gas, and natural gas liquids in the United States. The company's properties include the Permian Basin with approximately 2,97,000 net acres in west Texas and southeast, New Mexico; Marcellus Shale properties approximately 1,86,000 net acres located in Susquehanna County, Pennsylvania; and Anadarko Basin with approximately 1,81,000 net acres located in mid-continent region in Oklahoma. It also operates natural gas and saltwater gathering, and disposal systems in Texas. The company sells its natural gas to industrial customers, local distribution companies, oil and gas marketers, energy companies, pipeline companies, and power generation facilities. The company was incorporated in 1989 and is headquartered in Houston, Texas."
Coty,COTY,Consumer Staples,Personal Care Products,"Coty Inc., together with its subsidiaries, manufactures, markets, distributes, and sells beauty products worldwide. It operates through Prestige and Consumer Beauty segments. The company provides fragrance, color cosmetics, and skin and body care products. It offers Prestige segment products primarily through prestige retailers, including perfumeries, department stores, e-retailers, direct-to-consumer websites, and duty-free shops under the Burberry, Calvin Klein, Chloe, Davidoff, Escada, Gucci, Hugo Boss, Infiniment Coty Paris, Jil Sander, Joop!, Kylie Jenner, Lancaster, Marc Jacobs, Miu Miu, Orveda, philosophy, SKKN BY KIM, and Tiffany & Co. brands. The company provides Consumer Beauty segment products primarily through hypermarkets, supermarkets, drug stores, pharmacies, mid-tier department stores, traditional food and drug retailers, and e-commerce retailers under the Adidas, Beckham, Bozzano, Bourjois, Bruno Banani, CoverGirl, Jovan, Max Factor, Mexx, Monange, Nautica, Paixao, LeGer by Lena Gercke, Rimmel, Risque, Vera Wang, and Sally Hansen brands. It also sells its products through third-party distributors. The company was founded in 1904 and is headquartered in New York, New York. Coty Inc. is a subsidiary of JAB Beauty B.V."
Coupang,CPNG,Consumer Discretionary,,"Coupang, Inc., together with its subsidiaries, owns and operates retail business through its mobile applications and internet websites in South Korea and internationally. It operates through Product Commerce and Developing Offerings segments. The Product Commerce segment includes Korean retail and marketplace offerings; Rocket Fresh, a fresh grocery offering; and advertising products. The Developing Offerings segment offers Coupang Eats, a restaurant ordering and delivery service; Coupang Play, an online content streaming service; fintech activities; and Farfetch, a luxury fashion marketplace. It also performs operations and support services in the United States, South Korea, Taiwan, Singapore, China, Japan, and India. Coupang, Inc. was incorporated in 2010 and is headquartered in Seattle, Washington."
Cousins Properties,CUZ,Real Estate,Office REITs,"Cousins Properties Incorporated (""Cousins"") is a fully integrated, self-administered, and self-managed real estate investment trust (REIT). The Company, based in Atlanta and acting through its operating partnership, Cousins Properties LP, primarily invests in Class A office buildings located in high-growth Sun Belt markets. Founded in 1958, Cousins creates shareholder value through its extensive expertise in the development, acquisition, leasing, and management of high-quality real estate assets. The Company has a comprehensive strategy in place based on a simple platform, trophy assets, and opportunistic investments."
Crane Co.,CR,Industrials,Industrial Machinery & Supplies & Components,"Crane Company, together with its subsidiaries, manufactures and sells engineered industrial products in the United States, Canada, the United Kingdom, Continental Europe, and internationally. The company operates in two segments, Aerospace & Electronics and Process Flow Technologies. The Aerospace & Electronics segment supplies critical components and systems, including original equipment and aftermarket parts for commercial aerospace, as well as the military aerospace, defense, and space markets. This segment also offers pressure sensors for aircraft engine control, aircraft braking systems for commercial aircraft and fighter jets, power conversion solutions for defense, and space applications and lubrication systems. The Process Flow Technologies segment provides other related products, such as lined pipe, fittings and hoses, vacuum jacketed air operated diaphragm and peristaltic pumps, instrumentation and sampling systems, valve positioning and control systems, vacuum insulated pipe systems, and valve diagnostic and calibration systems; pumps and systems; and commercial valves. The company was formerly known as Crane Holdings, Co. Crane Company was founded in 1855 and is based in Stamford, Connecticut."
Crane NXT,CXT,Industrials,Industrial Machinery & Supplies & Components,"Crane NXT, Co. operates as an industrial technology company that provides technology solutions to secure, detect, and authenticate customers' important assets. The company operates through Crane Payment Innovations, and Security and Authentication Technologies segments. The Crane Payment Innovations segment offers electronic equipment and associated software, as well as advanced automation solutions, processing systems, field service solutions, remote diagnostics, and productivity software solutions. The Security and Authentication Technologies segment provides advanced security solutions based on proprietary technology for securing physical products, including banknotes, consumer goods, and industrial products. This segment also offers brand protection, authentication solutions, and digital content protection across online marketplaces, social media platforms, and websites; and serves various brands, as well as government agencies and financial institutions. Crane NXT, Co. was incorporated in 2021 and is based in Waltham, Massachusetts."
Credit Acceptance,CACC,Financials,,"Credit Acceptance Corporation engages in the provision of financing programs, and related products and services in the United States. The company advances money to automobile dealers in exchange for the right to service the underlying consumer loans; and buys the consumer loans from the dealers and keeps the amount collected from the consumers. It is also involved in the business of reinsuring coverage under vehicle service contracts sold to consumers by dealers on vehicles financed by the company. The company serves independent and franchised automobile dealers. The company was incorporated in 1972 and is headquartered in Southfield, Michigan."
CRH plc,CRH,Materials,Construction Materials,"CRH plc, together with its subsidiaries, provides building materials solutions in Ireland, the United States, the United Kingdom, rest of Europe, and internationally. It operates through three segments: Americas Materials Solutions, Americas Building Solutions, and International Solutions. The company offers building materials for the construction and maintenance of public infrastructure, and commercial and residential buildings, as well as construction and renovation of public infrastructure, critical networks, commercial and residential buildings, and outdoor living spaces; paving and construction services; and produces and sells aggregates, cement, readymixed concrete and mortars, and asphalt. It also manufactures, supplies, and delivers value-added solutions for the built environment in communities in North America; and provides building and infrastructure solutions for complex critical utility infrastructure, such as water, energy, transportation, and telecommunications projects, and outdoor living solutions for private and public spaces. In addition, the company produces and supplies precast and pre-stressed concrete products comprising floor and wall elements, beams and vaults, pipes, and manholes; and concrete and polymer-based products, such as underground vaults, drainage systems, enclosures, and modular precast structures for applications in water, energy, telecommunications, and railroad markets. Further, it provides crushed stone, sand, and gravel; a range of engineered steel and polymer-based anchoring, fixing, and connecting solutions for various new-build construction applications; concrete masonry, hardscape, and related products, including pavers, blocks and curbs, retaining walls and slabs; and fencing and railing systems, composite decking, lawn and garden products and packaged concrete mixes. CRH plc was founded in 1936 and is based in Dublin, Ireland."
Crocs,CROX,Consumer Discretionary,Footwear,"Crocs, Inc., together with its subsidiaries, designs, develops, manufactures, markets, distributes, and sells casual lifestyle footwear and accessories for men, women, and children under the Crocs and HEYDUDE Brands in the United States and internationally. The company offers various footwear products, including clogs, sandals, platforms, wedges, boots, slides, flip flops, flips, sneakers, and slippers, as well as lace and beads, straps, strap covers, bags, socks, and charms. It sells its products through wholesalers, retail stores, e-commerce sites, third-party marketplaces, and kiosks/store-in-store locations. Crocs, Inc. was founded in 1999 and is headquartered in Broomfield, Colorado."
CrowdStrike,CRWD,Information Technology,Application Software,"CrowdStrike Holdings, Inc. provides cybersecurity solutions in the United States and internationally. Its unified platform provides cloud-delivered protection of endpoints, cloud workloads, identity, and data through a software as a service (SaaS) subscription-based model. The company offers corporate endpoint and cloud workload security, managed security, security and vulnerability management, IT operations management, identity protection, threat intelligence, data protection, SaaS security posture management, and AI powered workflow automation, and securing generative AI workload services, as well as security orchestration, automation, and response; and security information and event management, and log management services. It primarily sells subscriptions to its Falcon platform and cloud modules. CrowdStrike Holdings, Inc. was incorporated in 2011 and is headquartered in Austin, Texas."
Crown Castle,CCI,Real Estate,Telecom Tower REITs,"Crown Castle owns, operates and leases more than 40,000 cell towers and approximately 90,000 route miles of fiber supporting small cells and fiber solutions across every major U.S. market. This nationwide portfolio of communications infrastructure connects cities and communities to essential data, technology and wireless service - bringing information, ideas and innovations to the people and businesses that need them."
Crown Holdings,CCK,Materials,,"Crown Holdings, Inc., together with its subsidiaries, engages in the packaging business in the United States and internationally. It operates through Americas Beverage, European Beverage, Asia Pacific, and Transit Packaging segments. The company manufactures and sells recyclable aluminum beverage cans and ends, glass bottles, steel crowns, aluminum caps, non-beverage cans, food and aerosol cans, and ends and closures. It also provides manual, semi-automatic, and automatic equipment and tools to apply and remove consumables, such as straps and films; protective solutions, including airbags, edge protectors, and honeycomb products; and steel and plastic consumables include steel strap, plastic strap, industrial film, and other related products. The company serves food industries, including pet food, personal care, household, and industrial products. Crown Holdings, Inc. was founded in 1892 and is headquartered in Tampa, Florida."
CSX Corporation,CSX,Industrials,Rail Transportation,"CSX Corporation, together with its subsidiaries, provides rail-based freight transportation services in the United States and Canada. It operates through two segments: rail and trucking. The company offers rail services; and transportation of intermodal containers and trailers, as well as other transportation services, such as rail-to-truck transfers and bulk commodity operations. It also transports chemicals, agricultural and food products, minerals, automotive, forest products, fertilizers, and metals and equipment; and coal, coke, and iron ore to electricity-generating power plants, steel manufacturers, and industrial plants, as well as exports coal to deep-water port facilities. In addition, the company provides intermodal services through a network of approximately 30 terminals transporting manufactured consumer goods in containers; and drayage services, including the pickup and delivery of intermodal shipments. It serves the automotive industry with distribution centers and storage locations, as well as connects non-rail served customers through transferring products, such as plastics and ethanol from rail to trucks. The company operates approximately 20,000 route mile rail network, which serves various population centers in 26 states east of the Mississippi River, the District of Columbia, and the Canadian provinces of Ontario and Quebec, as well as owns and leases approximately 3,500 locomotives. It serves production and distribution facilities through track connections. CSX Corporation was incorporated in 1978 and is headquartered in Jacksonville, Florida."
CubeSmart,CUBE,Real Estate,,"CubeSmart is a self-administered and self-managed real estate investment trust. The Company's self-storage properties are designed to offer affordable, easily accessible and, in most locations, climate-controlled storage space for residential and commercial customers. According to the 2024 Self-Storage Almanac, CubeSmart is one of the top three owners and operators of self-storage properties in the United States."
Cummins,CMI,Industrials,Industrial Machinery & Supplies & Components,"Cummins Inc. offers various power solutions worldwide. It operates through five segments: Engine, Distribution, Components, Power Systems, and Accelera. The company offers diesel and natural gas-powered engines; and drivetrain systems, including axles, drivelines, brakes, and suspension systems; truck, trailer, on- and off-highway, and other products. It also provides aftertreatment technology and solutions comprising custom engineering systems and integrated controls, oxidation catalysts, particulate filters, and selective catalytic reduction systems, as well as engineered components, including dosers; turbochargers, fuel systems, and valvetrain technologies; electronic control modules, sensors, and supporting software; and automated manual transmissions, dual-clutch transmissions, and automatic transmissions for internal combustion engines. In addition, the company sells and offers support services power generation systems, high-horsepower engines, and heavy-duty and medium-duty engines; offers application engineering services, custom-designed assemblies, and inshop and field-based repair services; and retails and wholesales aftermarket parts. Further, it offers standby and prime power generators, controls, paralleling systems, and transfer switches; turnkey solutions for distributed generation and energy management applications using natural gas, diesel, and newer alternative sustainable fuels; diesel and natural gas high-speed, high-horsepower engines; and A/C generator/alternator products. Additionally, the company provides electrified power systems, including batteries, fuel cells, and electric powertrain technologies, as well as hydrogen production technologies. It sells its products to original equipment manufacturers, distributors, dealers, and other customers. The company was formerly known as Cummins Engine Company and changed its name to Cummins Inc. in 2001. Cummins Inc. was founded in 1919 and is headquartered in Columbus, Indiana."
Curtiss-Wright,CW,Industrials,Aerospace & Defense,"Curtiss-Wright Corporation, together with its subsidiaries, provides engineered products, solutions, and services mainly to aerospace and defense, commercial power, process, and industrial markets worldwide. It operates through three segments: Aerospace & Industrial, Defense Electronics, and Naval & Power. The Aerospace & Industrial segment offers industrial and specialty vehicle products, such as power management electronics, traction inverters, transmission shifters, and control systems; sensors, controls, and electro-mechanical actuation components used on commercial and military aircraft; and surface technology services including shot peening, laser peening, and engineered coatings. The Defense Electronics segment provides commercial off-the-shelf embedded computing board-level modules and processing equipment, data acquisition and flight test instrumentation equipment, integrated subsystems, instrumentation and control systems, tactical communications solutions; and electronic stabilization products, and weapons handling systems; avionics and electronics; flight test equipment; and aircraft data management solutions. The Naval & Power segment offers main coolant pumps, power-dense compact motors, generators, steam turbines, valves, and secondary propulsion systems; energy absorbers, retractable hook cable systems, net-stanchion systems and mobile systems to support fixed land-based arresting systems; hardware, valves, fastening systems, specialized containment doors, airlock hatches, and spent fuel management products; reactor coolant pumps and control rod drive mechanisms for commercial nuclear power plants, as well as various nuclear reactor technologies. This segment furnishes severe-service valve technologies and services, heat exchanger repair, and piping test and isolation products, and offers ship repair and maintenance for the U.S. navy. Curtiss-Wright Corporation was incorporated in 1929 and is headquartered in Davidson, North Carolina."
CVS Health,CVS,Health Care,Health Care Services,"CVS Health Corporation provides health solutions in the United States. It operates through Health Care Benefits, Health Services, and Pharmacy & Consumer Wellness segments. The Health Care Benefits segment offers traditional, voluntary, and consumer-directed health insurance products and related services, including medical, pharmacy, dental and behavioral health plans, medical management capabilities, Medicare Advantage and Medicare Supplement plans, PDPs and Medicaid health care management services. It serves employer groups, individuals, college students, part-time and hourly workers, health plans, health care providers, governmental units, government-sponsored plans, labor groups, and expatriates. The Health Services segment offers pharmacy benefit management solutions, including plan design and administration, formulary management, retail pharmacy network management, specialty and mail order pharmacy, clinical, disease management, medical spend management services, and other administrative services. It serves employers, insurance companies, unions, government employee groups, health plans, prescription drug plans, Medicaid managed care plans, CMS, plans offered on public health insurance, and other sponsors of health benefit plans. The Pharmacy & Consumer Wellness segment sells prescription and over-the-counter drugs, consumer health and beauty products, and personal care products. This segment also distributes prescription drugs; and provides related pharmacy consulting and other ancillary services to care facilities and other care settings. It operates online retail pharmacy websites, LTC pharmacies and on-site pharmacies, retail specialty pharmacy stores, compounding pharmacies and branches for infusion and enteral nutrition services. The company was formerly known as CVS Caremark Corporation and changed its name to CVS Health Corporation in September 2014. CVS Health Corporation was incorporated in 1996 and is headquartered in Woonsocket, Rhode Island."
D. R. Horton,DHI,Consumer Discretionary,Homebuilding,"D.R. Horton, Inc. operates as a homebuilding company in East, North, Southeast, South Central, Southwest, and Northwest regions in the United States. It engages in the acquisition and development of land; and construction and sale of residential homes in 125 markets across 36 states under the names of D.R. Horton. The company constructs and sells single-family detached homes; and attached homes, such as townhomes, duplexes, and triplexes. It provides mortgage financing services; and title insurance policies, and examination and closing services, as well as engages in the residential lot development business. In addition, the company develops, constructs, owns, leases, and sells multi-family and single-family rental properties; and owns non-residential real estate, including ranch land and improvements. It primarily serves homebuyers. D.R. Horton, Inc. was founded in 1978 and is headquartered in Arlington, Texas."
