company_name,business_description
LQR House Inc.,"LQR House Inc. provides digital marketing and brand development services for the alcoholic beverage business in the United States. Its primary business includes the development of limited batch spirit brands and marketing internal and external brands through its CWS Platform. The company serves individual consumers, wholesalers, and third-party alcohol brands. LQR House Inc. was incorporated in 2021 and is based in Miami Beach, Florida."
"Marchex, Inc.","Marchex, Inc., a conversation intelligence company, provides conversational analytics and related solutions in the United States, Canada, and internationally. Its products include Marketing Edge that identifies which campaigns and channels are driving inbound conversations, evaluates what happens during those conversations, and closes the sales loop by connecting converted sales to marketing driven leads; Sonar Business Text Messaging, an artificial intelligence (AI) empowered intelligent workflow enabled mobile messaging solution that enables operations, sales, and marketing teams to communicate personally with field staff, prospects, and customers; Marchex Platform Services, a robust API-based conversation intelligence product that allows executives, sales, customer engagement, and marketing teams to apply Marchex AI to most any calls, regardless of communication platform, in order to identify actionable insights from conversations with their customers; Spotlight, an AI conversation analytics product for multi-location businesses; and Engage, a solution that provides locations with applications to enhance their overall performance. The company was incorporated in 2003 and is headquartered in Seattle, Washington."
"Marqeta, Inc.","Marqeta, Inc. operates a cloud-based open application programming interface platform that delivers card issuing and transaction processing services. It offers its solutions in various verticals, including financial services, on-demand services, expense management, and e-commerce enablement, as well as buy now, pay later. Marqeta, Inc. was incorporated in 2010 and is headquartered in Oakland, California."
Mastercard Incorporated,"Mastercard Incorporated, a technology company, provides transaction processing and other payment-related products and services in the United States and internationally. The company offers integrated products and value-added services for account holders, merchants, financial institutions, digital partners, businesses, governments, and other organizations, such as programs that enable issuers to provide consumers with credits to defer payments; payment products and solutions that allow its customers to access funds in deposit and other accounts; prepaid programs services; and commercial credit, debit, and prepaid payment products and solutions. It also provides solutions that enable businesses or governments to make payments to businesses, including Virtual Card Number, which is generated dynamically from a physical card and leverages the credit limit of the funding account; a platform to optimize supplier payment enablement campaigns for financial institutions; and treasury intelligence platform that offers corporations with recommendations to enhance working capital performance and accelerate spend on cards. In addition, the company offers Mastercard Send, which partners with digital messaging and payment platforms to enable consumers to send money directly within applications to other consumers; and Mastercard Cross-Border Services enables a range of payment flows through a distribution network with a single point of access to send and receive money globally through various channels, including bank accounts, mobile wallets, cards, and cash payouts. Further, it provides cyber and intelligence solutions; insights and analytics, consulting, marketing, loyalty, processing, and payment gateway solutions for e-commerce merchants; and open banking and digital identity services. The company offers payment solutions and services under the MasterCard, Maestro, and Cirrus name. Mastercard Incorporated was founded in 1966 and is headquartered in Purchase, New York."
"Maximus, Inc.","Maximus, Inc. operates as a provider of government services in the United States and internationally. It operates through three segments: U.S. Federal Services, U.S. Services, and Outside the U.S. The U.S. Services segment offers program eligibility support and enrollment; centralized multilingual customer contact centers, multichannel, and digital self-service options for enrollment; application assistance and independent health plan choice counseling; beneficiary outreach, education, eligibility, enrollment, and redeterminations; and person-centered independent disability, long-term sick, and other health assessments. This segment also provides employment services, such as eligibility support, case management, job-readiness preparation, job search and employer outreach, job retention and career advancement, and educational and training services; technology solutions; system implementation project management services; and specialized consulting services. The U.S. Federal Services segment offers Business process services, eligibility and enrollment, outreach, and other services for federal health and human services programs; clinical services; and technology solutions, including application development and modernization services, enterprise business solutions, advanced analytics and emerging technologies, cybersecurity services, and infrastructure and engineering solutions. The Outside the U.S. segment offers BPS solutions for international governments, including health and disability assessments, program administration for employment services, wellbeing solutions, and other job seeker-related services. Maximus, Inc. was founded in 1975 and is headquartered in McLean, Virginia."
MCX Technologies Corporation,"MCX Technologies Corporation provides digital transformation solutions to customer-centric organizations through integrated marketing, data science, and commerce in the United States. It offers professional and related consulting services, including brand strategy, pricing science, data science, digital transformation, customer experience management consulting, implementation, and go-to-market execution in support of these strategies. The company was formerly known as McorpCX, Inc. and changed its name to MCX Technologies Corporation in August 2020. MCX Technologies Corporation was incorporated in 2001 and is headquartered in Boise, Idaho."
"Medicine Man Technologies, Inc.","Medicine Man Technologies, Inc., doing business as Schwazze, engages in the cultivation, manufacturing, distribution, and retail sale of cannabis and cannabis related products in Colorado and New Mexico. It operates through Retail, Wholesale, and Others segments. The company offers loose flower, concentrates, edibles, pre-rolls, topicals, infused beverages, and other associated cannabis products produced by cannabis vendors; and cannabis and non-cannabis products. It operates retail cannabis dispensaries under the Star Buds, Emerald Fields, Standing Akimbo, Everest Cannabis Co., and R. Greenleaf brand names. In addition, the company sells indoor gardening supplies and hydroponics through its online and retail store. Medicine Man Technologies, Inc. was incorporated in 2014 and is headquartered in Denver, Colorado."
"MetaPower International, Inc.","MetaPower International, Inc. operates as a management-consulting and technology company in North America. The company offers Noble Production, a suite of automated processes and attendant services that provide heavy industrial facilities with the tools necessary to guide the evolution of their organization and its culture. It also offers a suite of services to support Noble Production. These services include assessment services that assist clients in determining their performance relative to OSHA’s Voluntary Protection Program 1 Safety criteria; culture reform services, including training and consulting services; business process management services comprising Noble Production automated process customization and business process design services; and cause analysis services, including cause analysis training and event investigations for investigating and determining the cause of conditions and incidents. In addition, the company provides consulting services in various areas, including business process management, program design and implementation, process design, procedure development and implementation, business system planning and implementation, corrective action programs, cause analysis, process safety management, and culture change management. Further, it offers training courses in various aspects of position competency, including technical training, performance training, supervision and leadership training, and other skill and knowledge based training. The company was founded in 1996 and is based in Vancouver, Washington."
"MGT Capital Investments, Inc.","MGT Capital Investments, Inc. engages in cryptocurrency mining business in the United States. The company owns and manages a bitcoin mining facility in LaFayette, Georgia. It also leases space to third parties and self-mining operations; and provides hosting services for third-party owners of miners. The company was incorporated in 1977 and is headquartered in Lafayette, Georgia."
Mission Ready Solutions Inc.,"Mission Ready Solutions Inc. provides government contracting solutions to law enforcement, firefighters, first responders, military, and other governmental agencies in Canada and the United States. It offers protective services gears. The company also manufactures and distributes fire, military, emergency, and law enforcement products. The company was formerly known as Mission Ready Services Inc. and changed its name to Mission Ready Solutions Inc. in June 2018. Mission Ready Solutions Inc. is headquartered in Vancouver, Canada."
"MJardin Group, Inc.","MJardin Group, Inc., through its subsidiaries, cultivates, harvests, processes, and sells cannabis products in Canada and the United States. The company also provides consulting services, including strategic capital and financing, project management services for cultivation, licensure support, facility design, systems implementation, facility and equipment leasing, construction oversight, facility ramp-up, and access to intellectual property held by the company to licensed cannabis operators with cultivation and retail businesses. It owns, manages, or advises on a portfolio of 32 cannabis operations. The company was founded in 2014 and is headquartered in Toronto, Canada."
Mobilum Technologies Inc.,"Mobilum Technologies Inc. provides payment processing solutions in Europe and North America. It offers plug and play fiat-to-crypto gateway on-ramp solution for exchanges, wallets, and cryptocurrency businesses, as well as visa-mastercard payment solution. The company was formerly known as TechX Technologies Inc. and changed its name to Mobilum Technologies Inc. in July 2021. Mobilum Technologies Inc. is headquartered in Vancouver, Canada."
"MoneyOnMobile, Inc.","MoneyOnMobile, Inc. offers MoneyOnMobile, a mobile SMS and smart phone application. Its application offers m-Wallet that connects with money to recharge mobile; pay utility bills; top-up DTH account; shop for any goods or services; buy travel related services; and handle banking transactions. The company was formerly known as Calpian, Inc. and changed its name to MoneyOnMobile, Inc. in August 2016. MoneyOnMobile, Inc. was incorporated in 2006 and is based in Dallas, Texas."
National Medplex Corp,"National Medplex Corp is an office services and supplies company. It is headquartered in Great Neck, New York."
National Research Corporation,"National Research Corporation provides analytics and insights that facilitate measurement and enhancement of the patient and employee experience. Its portfolio of subscription-based solutions provides actionable information and analysis to healthcare organizations across a range of mission-critical, constituent-related elements, including patient experience, service recovery, care transitions, employee engagement, reputation management, and brand loyalty. The company also offers marketing solutions that allow the tracking of awareness, perception, and consistency of healthcare brands; assessment of competitive differentiators; and enhanced segmentation tools to evaluate needs, wants, and behaviors of communities through real-time competitive assessments and enhanced segmentation tools. In addition, it provides experience solutions, such as patient experience, employee engagement, health risk assessments, care transition, and improvement tools. Further, the company provides reputation solutions that allow healthcare organizations to share a picture of their organization and ensure that timely and relevant content informs consumer decision-making; and governance solutions for not-for-profit hospital and health system boards of directors, executives, and physician leadership. National Research Corporation was founded in 1981 and is headquartered in Lincoln, Nebraska."
National Stock Yards Co.,"National Stock Yards Company engages in the auction of livestock. The company is based in Naperville, Illinois."
NCR Atleos Corporation,"NCR Atleos Corporation operates as a financial technology company in the United States, rest of the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Self-Service Banking, Network, and Telecommunications & Technology (T&T). The Self-Service Banking segment offers solutions, including a line of automated teller machine (ATM) and interactive teller machine (ITM) hardware and software, as well as related installation, maintenance, and managed and professional services; and solutions to manage and run the ATM channel end-to-end for financial institutions comprising back office, cash management, software management and ATM deployment, and others. The Network segment provides a network of ATMs and multi-functioning financial services kiosks for financial institutions, fintechs, neobanks, and retailers; Allpoint network for credit unions, banks, digital banks, fintechs, stored-value debit card issuers, and other consumer financial services providers; ReadyCode to convert a digital value to cash or cash to a digital value; ATM branding solutions to financial institutions; ATM management and services to retailers and other businesses; and engages in the buying and selling of Bitcoins. The T&T segment offers managed network and infrastructure services to enterprise clients across various industries through communications service providers and technology manufacturers; and professional, field, and remote services for modern network technologies, including software-defined wide area networking, network functions virtualization, wireless local area networks, optical networking, and edge networks. NCR Atleos Corporation is headquartered in Atlanta, Georgia."
"Nexteligent Holdings, Inc.","Nexteligent Holdings, Inc. operates as an aggregator of healthcare professional services and technology firms. The company provides professional services in telemedicine, consulting, and financial management. Its Telemedicine Solutions division develops and manages remote care and technology programs aimed at containing costs, improving productivity, and enhancing the quality of medical encounters at healthcare institutions serving the eldercare sector, as well as municipalities and not-for-profit organizations. The company’s Financial Services division provides end-to-end revenue cycle management solutions and denials recovery for hospital systems, doctor groups, clinics, and long term care operators. This division also offers turnkey solutions for preventative care services, such as chronic care management, annual wellness visit, transitional care management, behavioral health, and remote telemonitoring. Nexteligent Holdings, Inc. is headquartered in Avon, Connecticut."
"NextMart, Inc.","NextMart, Inc. does not have significant operations. Previously, it was involved in the art event and art media direct marketing; art-themed products design and marketing; and art themed real estate development businesses. The company was incorporated in 1972 and is based in Scottsdale, Arizona."
Nuvei Corporation,"Nuvei Corporation provides payment technology solutions to merchants and partners in North America, Europe, the Middle East and Africa, Latin America, and the Asia Pacific. The company’s platform enables customers to pay and/or accept payments worldwide regardless of the location, device, or preferred payment method. Its solutions comprise a fully integrated payments engine with global processing capabilities, a turnkey solution for frictionless payment experiences, and a broad suite of data-driven business intelligence tools and risk management services. The company markets and sells its products and services through direct and indirect sales, strategic platform integrations, local sales teams, and indirect partners. The company was formerly known as Pivotal Development Corporation Inc. and changed its name to Nuvei Corporation in November 2018. Nuvei Corporation was founded in 2003 and is headquartered in Montreal, Canada."
Omnicom Group Inc.,"Omnicom Group Inc., together with its subsidiaries, offers advertising, marketing, and corporate communications services. It provides a range of services in the areas of advertising and media, precision marketing, commerce and branding, experiential, execution and support, public relations, and healthcare. The company’s services include advertising, branding, content marketing, corporate social responsibility consulting, crisis communications, custom publishing, data analytics, database management, digital/direct marketing and post-production, digital transformation consulting, entertainment marketing, experiential marketing, field marketing, sales support, financial/corporate business-to-business advertising, graphic arts/digital imaging, healthcare marketing and communications, and instore design services. Its services also comprise interactive marketing, investor relations, marketing research, media planning and buying, retail media planning and buying, merchandising and point of sale, mobile marketing, multi-cultural marketing, non-profit marketing, organizational communications, package design, product placement, promotional marketing, public affairs, public relations, retail marketing, retail media and e-commerce, search engine marketing, shopper marketing, social media marketing, and sports and event marketing services. It operates in the North and Latin America, Europe, the Middle East and Africa (EMEA), and the Asia Pacific. The company was incorporated in 1944 and is based in New York, New York."
OneLink Corporation,"OneLink Corporation provides integrated global distribution and financial settlement services to the travel and tourism industry. It enables non-airline travel suppliers, such as hotels, rental car operators, and cruise lines to distribute a pre-paid product through travel agents worldwide, as well as to effect financial settlement through an online global distribution and financial settlement system. It offers services, including business-to-business marketing channel, to connect travel suppliers with travel agents, including distribution and settlement. OneLink Corporation was formerly known as One Link 4 Travel Inc. and changed its name to OneLink Corporation in March 2006. The company was founded in 2001 and is based in San Francisco, California with an additional office in Reading, United Kingdom."
"OPENLANE, Inc.","OPENLANE, Inc., together with its subsidiaries, operates as a digital marketplace for used vehicles, which connects sellers and buyers in North America, Europe, the Philippines, and Uruguay. The company operates through two segments, Marketplace and Finance. The Marketplace segment offers digital marketplace services for buying and selling used vehicles. Its digital marketplaces include OPENLANE, a mobile-app enabled solutions that allows dealers to sell and source inventory in the United States. This segment also provides value-added ancillary services, including inbound and outbound transportation logistics, reconditioning, vehicle inspection and certification, titling, administrative, and collateral recovery services. This segment sells its products and services through vehicle manufacturers, fleet companies, rental car companies, finance companies, and others. The Finance segment offers floorplan financing, a short-term inventory-secured financing to independent used vehicle dealers. The company serves commercial customers and dealer customers. The company was formerly known as KAR Auction Services, Inc. and changed its name to OPENLANE, Inc. in May 2023. OPENLANE, Inc. was incorporated in 2006 and is headquartered in Carmel, Indiana."
"Optec International, Inc.","Optec International, Inc. engages in selling and marketing optimized fuel maximizer units in North America and internationally. It markets optimized fuel maximizer for passenger vehicles, intermediate/medium duty trucks, off-road equipment, generator systems, heavy duty diesel on-road vehicles, and transportation refrigeration units. The company was formerly known as Green Meadow Products, Inc. and changed its name to Optec International, Inc. in August 2017. Optec International, Inc. was founded in 2012 and is based in Carlsbad, California."
Ostrom Climate Solutions Inc.,"Ostrom Climate Solutions Inc. provides carbon project development and management, climate solutions, and carbon credit marketing services in Canada, Europe, the United States, and internationally. The company engages in the verified emission reduction units, as well as project development and other environmental consulting services in the private and public sectors. It also provides climate advisory, clean technology and industrial innovation, and nature-based solutions. The company was formerly known as NatureBank Asset Management Inc. and changed its name to Ostrom Climate Solutions Inc. in December 2021. Ostrom Climate Solutions Inc. was founded in 2005 and is headquartered in Vancouver, Canada."
Oxford Investments Holdings Inc.,"Oxford Investments Holdings Inc., together with its subsidiaries, engages in the business of direct-banking and payment-card solutions. The company offers ‘FocusKard’ suite of products that consists of an online-access account represented by a stored-value card, which is a substitute for cash, gift certificates, and check payments. Its stored-value card’s applications include payroll, gift-card, travel, insurance, membership, student, and incentive/promotional products. The company was formerly known as Oxford Software Developers Inc. and changed its name to Oxford Investments Holdings Inc. in December 2003. Oxford Investments Holdings Inc. was founded in 2000 and is headquartered in Toronto, Canada."
"PAO Group, Inc.","PAO Group, Inc. focuses on alternative patient care treatments. The company, through its subsidiaries, engages in the development, sale, and distribution of premium medical cannabis products for treatment of chronic and terminal patients. The company is headquartered in Sandusky, Ohio."
"Paychex, Inc.","Paychex, Inc., together with its subsidiaries, provides integrated human capital management solutions (HCM) for payroll, benefits, human resources (HR), and insurance services for small to medium-sized businesses in the United States, Europe, and India. It offers payroll processing services; payroll tax administration services; employee payment services; and regulatory compliance services, such as new-hire reporting and garnishment processing. The company also provides HR solutions, including integrated HCM technology solutions and HR advisory services through both virtual and on-site availability of a professionally trained HR representative, as well as HR support to non-payroll clients through its HR Partner Plus solution; and retirement services administration, such as plan implementation, ongoing compliance with government regulations, employee and employer reporting, participant and employer online access, electronic funds transfer, and other administrative services. In addition, it offers cloud-based HR administration software products for employee benefits management and administration, time and attendance, digital communication solutions, recruiting, and onboarding solutions; plan administration outsourcing and state unemployment insurance services; various business services to small to medium-sized businesses comprising payroll funding and outsourcing services, which include payroll processing, invoicing, and tax preparation; and payment processing services, financial fitness programs, and a small-business loan resource center. Further, the company provides insurance services for property and casualty coverage, such as workers’ compensation, business-owner policies, cyber security protection, and commercial auto, as well as health and benefits coverage, including health, dental, vision, and life. It markets and sells its services primarily through its direct sales force. The company was founded in 1971 and is headquartered in Rochester, New York."
"Paymentus Holdings, Inc.","Paymentus Holdings, Inc. provides cloud-based bill payment technology and solutions in the United States and internationally. The company offers electronic bill presentment and payment services, enterprise customer communication, and self-service revenue management to billers through a software-as-a-service technology platform. Its platform’s payment processing includes credit cards, debit cards, eChecks, and digital wallets. It serves utility, financial service, government, insurance, telecommunication, real estate management, education, consumer finance, healthcare, and small business industries. The company was founded in 2004 and is headquartered in Charlotte, North Carolina."
Payoneer Global Inc.,"Payoneer Global Inc. operates as a financial technology company. It operates a payment infrastructure platform that provides customers with a one-stop, global, multi-currency account to serve their accounts receivable and accounts payable needs. The company delivers a suite of services that includes cross-border payments, physical and virtual MasterCard cards, working capital, risk management, and other services. It also offers various payment options with minimal integration required, full back-office functions, and customer support offered. The company’s platform delivers bank-grade security, stability, and redundancy. It serves customers, such as small and medium-sized businesses in approximately 190 countries and territories worldwide. Payoneer Global Inc. was founded in 2005 and is headquartered in New York, New York."
"PayPal Holdings, Inc.","PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. It operates a two-sided network at scale that connects merchants and consumers that enables its customers to connect, transact, and send and receive payments through online and in person, as well as transfer and withdraw funds using various funding sources, such as bank accounts, PayPal or Venmo account balance, PayPal and Venmo branded credit products comprising its installment products, credit and debit cards, and cryptocurrencies, as well as other stored value products, including gift cards and eligible rewards. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, Zettle, Hyperwallet, Honey, and Paidy names. The company was founded in 1998 and is headquartered in San Jose, California."
"Paysign, Inc.","Paysign, Inc. provides prepaid card programs, comprehensive patient affordability offerings, digital banking services, and integrated payment processing services for businesses, consumers, and government institutions. Its product offerings include solutions for corporate rewards, prepaid gift cards, general purpose reloadable debit cards, employee incentives, consumer rebates, donor compensation, clinical trials, healthcare reimbursement payments and pharmaceutical payment assistance, and demand deposit accounts accessible with a debit card. The company markets its prepaid card solutions under the Paysign brand. Its primary market focus is on companies and municipalities that require a streamlined payment solution for rewards, rebates, payment assistance, and other payments to their customers, employees, agents, and others. The company was formerly known as 3PEA International, Inc. and changed its name to Paysign, Inc. in April 2019. Paysign, Inc. was incorporated in 1995 and is headquartered in Henderson, Nevada."
"Pharma-Bio Serv, Inc.","Pharma-Bio Serv, Inc. operates as a compliance and technology transfer services consulting firm in Puerto Rico, the United States, Europe, Brazil, and internationally. The company provides technical compliance consulting services comprising regulatory compliance, validation, technology transfer, engineering, project management, and process support for the pharmaceutical, chemical manufacturing, biotechnology, medical device, cosmetic, food industries, and allied products companies. Pharma-Bio Serv, Inc. was founded in 1993 and is headquartered in Dorado, Puerto Rico."
"Pineapple, Inc.","Pineapple, Inc. operates as a portfolio management company in the cannabis sector. The company procures and leases properties to licensed cannabis operators; and provides hemp-derived CBD sales via online and in-store transactions. It also offers cannabis business licensing and consulting services. The company was founded in 1983 and is headquartered in Los Angeles, California."
"Premier information Management, Inc.","Premier Information Management, Inc. provides business outsourced processing services to insurance underwriters and brokers in North America and internationally. It implements process solutions to procure and manage medical information necessary for insurance carriers, brokers, and agents to evaluate risks associated with life underwriting and claims requirements. The company is based in Phoenix, Arizona."
"Premier, Inc.","Premier, Inc., together with its subsidiaries, operates as a healthcare improvement company in the United States. It operates in two segments, Supply Chain Services and Performance Services. The Supply Chain Services segment offers its members with an access to a range of products and services, including medical and surgical products, pharmaceuticals, laboratory supplies, capital equipment, information technology, facilities and construction, and food and nutritional products, as well as purchased services, such as clinical engineering and workforce solutions. This segment also provides the ASCENDrive programs for members to receive group purchasing programs, tiers, and prices; SURPASS Performance Group services for coordinate purchasing decisions, review utilization and achieve and maintain standardization across member’s facilities; SaaS informatics products for the purchase additional elements; supply chain co-management services; purchased services contracts; direct sourcing solutions; and supply chain resiliency programs. The Performance Services segment provides technology and services platform with offerings that help optimize performance in three main areas, including clinical intelligence, margin improvement, and value-based care under the PINC AI brand; third party administrator services and management of health benefit programs under the Contigo Health brand; and digital invoicing and payables services that offers financial support services to healthcare product suppliers and service providers under the Remitra brand. The company was incorporated in 2013 and is headquartered in Charlotte, North Carolina."
"Priority Technology Holdings, Inc.","Priority Technology Holdings, Inc. operates as a payment technology company in the United States. The company operates through three segments: Small and Medium-Sized Businesses (SMB) Payments, Business-To-Business (B2B) Payments, and Enterprise Payments. It offers SMB payments processing solutions for B2C transactions through independent sales organizations, financial institutions, independent software vendors, and other referral partners through its MX product suite, which includes MX Connect and MX Merchant products, such as MX Insights, MX Storefront, MX Retail, MX Invoice, MX B2B and ACH.com, and others, which provides flexible and customizable set of business applications that helps to manage critical business work functions and revenue performance to resellers and merchant clients using core payment processing. The company also offers CPX, a platform that offers accounts payable automation solutions, including virtual card, purchase card, ACH +, dynamic discounting, or check. In addition, it provides curated managed services; payment-adjacent technologies to facilitate the acceptance of electronic payments from customers; and Plastiq payables management software, which helps businesses in improving cash flow with instant access to working capital. Further, the company offers embedded finance and BaaS solutions to enterprise customers to modernize legacy platforms and accelerate software partners' strategies to monetize payments; and managed services solutions that provide audience-specific programs for institutional partners and other third parties; and consulting and development solutions. It serves SMB, and enterprises, as well as distribution partners, including retail and wholesale independent sales organizations, financial institutions, and independent software vendors. The company was founded in 2005 and is headquartered in Alpharetta, Georgia."
"Profit Planners Management, Inc.","Profit Planners Management, Inc. provides management, tax, and financial and accounting advisory services primarily through consulting agreements in New York and Florida. The company offers management, staffing, payroll, human resources, billing, and tax services to its clients; short-term engagements of an outside management services to help companies complete certain transactions or restructurings; and monthly accounting, payroll, tax, and billing services to businesses that do not have those departments. It also provides a range of insurance and insurance related products, such as life insurance and annuities, as well as sells insurance products and services directly to individuals and companies. In addition, the company offers budgeting, and asset allocation and control advisory services to professional athletes, entertainers, and other high earning individuals; and strategic and financial consulting services for companies to raise capital in the debt and equity markets. It serves small and midsized companies. The company was founded in 2009 and is based in New York, New York."
Prophecy DeFi Inc.,"Prophecy DeFi Inc. provides liquidity to decentralized cryptocurrency exchanges and receives digital currencies in Canada. The company was formerly known as Bucephalus Capital Corp. and changed its name to Prophecy DeFi Inc. in June 2021. Prophecy DeFi Inc. is based in Toronto, Canada."
Protocall Technologies Inc.,"Protocall Technologies Inc. develops and commercializes an electronic sell-through platform that enables retailers to produce DVD movie, consumer software, and video game products in retail packaging at their stores and Website distribution centers. It offers TitleMatch DVD On-Demand, which offers retailers a virtual inventory of digital media products, which can be produced on-demand, thereby eliminating the cost of physical inventories. The company also uses its solutions to provide outsourced fulfillment services to Web retailers whereby digital media product orders are electronically routed to the company for on-demand production and shipment to the retailer’s customer. Protocall Technologies Inc. was founded in 1992 and is based in Panama City Beach, Florida."
PTS Inc.,"PTS Inc., through its subsidiary, Navistar Logistics (UK) Limited, provides logistics and supply chain management services in the United Kingdom and internationally. It principally offers air freight, sea freight, and road haulage services; and customs clearance, storage, and fulfillment services. The company was incorporated in 1996 and is based in Burnsville, Minnesota."
"Public Policy Holding Company, Inc.","Public Policy Holding Company, Inc. provides consulting services in the United States. It operates through three segments: Government Relations Consulting, Public Affairs Consulting, and Diversified Services. The Government Relations Consulting segment offers federal and state advocacy, strategic guidance, political intelligence, and issue monitoring services. The Public Affairs Consulting segment provides crisis communications, community relations, social and digital podcasting, public opinion research, branding and messaging, relationship marketing, and litigation support. The Diversified Services segment engages in the provision of lobbying compliance and legislative tracking services. Public Policy Holding Company, Inc. was founded in 2014 and is headquartered in Washington, the District of Columbia."
R1 RCM Inc.,"R1 RCM Inc. provides technology-driven solutions for the financial performance and patient experience of health systems, hospitals, and physician groups. It provides operating partnership/end-to-end solutions, which manages multiple aspects of the revenue cycle to realize financial leverage and revenue improvement for hospital and physician customers. The company also offers modular solutions, including functional partnership, an outsourcing solutions for improvements across targeted revenue cycle areas for hospital and physician group customers; revenue recovery, to fast-track payer and patient cash collections; revenue optimization, a solution to uncover missed or underreported revenue; clinical integrity, used to improve documentation and coding accuracy to maximize earned revenue for the services provided; and regulatory navigation, a compliance-first solutions for government reimbursement accuracy, pharmacy savings, and compliance. R1 RCM Inc. was formerly known as Accretive Health, Inc. and changed its name to R1 RCM Inc. in January 2017. The company was incorporated in 2003 and is headquartered in Murray, Utah."
"RB Global, Inc.","RB Global, Inc., an omnichannel marketplace, provides insights, services, and transaction solutions for buyers and sellers of commercial assets and vehicles worldwide. Its marketplace brands include Ritchie Bros., an auctioneer of commercial assets and vehicles offering online bidding; IAA, a digital marketplace connecting vehicle buyers and sellers; Rouse Services, which provides asset management, data-driven intelligence, and performance benchmarking system; SmartEquip, a technology platform that supports customers’ management of the equipment lifecycle; and Veritread, an online marketplace for heavy haul transport solution. The company’s brands include GovPlanet, an online marketplace for the sale of government and military assets; RB Auction, an onsite and online marketplace for selling and buying used equipment; IronPlanet, an online marketplace for selling and buying used equipment; Marketplace-E, an online solution that make offers/buy now format; Rouse Appraisals, a certified appraisal service solution; Ritchie List Mascus, an online equipment listing service and B2B dealer portal; CSAToday, an online reporting and analysis tool that gives sellers the ability to manage their vehicle assets and monitor sales performance; and Catastrophe Response Services. In addition, it offers title, data, transportation and logistics, refurbishing, inspection, and financial services. It serves customers across various asset classes, including automotive, commercial transportation, construction, government surplus, lifting and material handling, energy, mining, and agriculture. RB Global, Inc. was founded in 1958 and is headquartered in Westchester, Illinois."
Real American Capital Corp.,"Real American Capital Corp. operates a chain of retail stores. The company offers apparel, boots, belts, buckles, accessories, jewelry, home décor, furnishings, and antiques. It serves celebrities and VIP's from entertainment, arts, music, movies, sports, politics, and theatre. The company was founded in 1978 and is based in Rancho Mirage, California."
RediShred Capital Corp.,"RediShred Capital Corp., together with its subsidiaries, operates the Proshred franchise and license business in the United States. The company operates through three segments: Franchising and licensing, Corporate Locations, and Corporate. It grants and manages shredding business franchises under the Proshred brand, as well as operates corporate shredding locations. The company also provides shredding and destruction services; offers electronic waste disposal services under the Secure e-Cycle brand name; sells recycled paper and other recyclable by-products, such as metals and plastics; and resells electronics. In addition, it offers digital imaging, scanning, and related workflow management services. The company was incorporated in 2006 and is headquartered in Mississauga, Canada."
"Rego Payment Architectures, Inc.","Rego Payment Architectures, Inc., together with its subsidiaries, provides consumer software solutions. It offers Mazoola, a mobile payment platform that enables individual users to own and monetize their purchasing behavior. The company’s online solution enables families and parents to teach their children regarding financial management and spending on gaming, retail, music, and entertainment. It also provides an all-digital financial payments platform that enable minors under the age of 13 years to purchase goods and services, complete chores, and learn in a secure online environment guided by parental permission, oversight, and control; and cloud storage services. The company was formerly known as Virtual Piggy, Inc. and changed its name to Rego Payment Architectures, Inc. in February 2017. Rego Payment Architectures, Inc. was incorporated in 2008 and is headquartered in Blue Bell, Pennsylvania."
Reklaim Ltd.,"Reklaim Ltd. provides data to brands and agencies, platforms, and data companies in Canada and the United States. It allows consumers to visit the platform, confirm their identity, and unveil data. The company was formerly known as Killi Ltd. and changed its name to Reklaim Ltd. in November 2021. The company was founded in 2018 and is based in Toronto, Canada."
Repay Holdings Corporation,"Repay Holdings Corporation, payments technology company, provides integrated payment processing solutions to industry-oriented markets in the United States. It operates through two segments: Consumer Payments and Business Payments. The company’s payment processing solutions enable consumers and businesses to make payments using electronic payment methods. It also offers a range of solutions relating to electronic payment methods, including credit and debit card processing, automated clearing house (ACH) processing, e-cash, and digital wallet services; virtual credit card processing, enhanced ACH processing, instant funding, clearing and settlement, and communication solutions; and proprietary payment channels that include Web-based, virtual terminal, online client portal, mobile application, text-to-pay, interactive voice response, and point of sale services. It serves customers primarily operating in the personal loans, automotive loans, receivables management, and business-to-business verticals through direct sales representatives and software integration partners. The company was founded in 2006 and is headquartered in Atlanta, Georgia."
